Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
483,Julius Randle,20,LAL,PF,1,0,14,2.6,7.7,.333,0.0,0.0,,2.6,7.7,.333,.333,0.0,5.1,.000,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.6,5.1,,randlju01
484,Jamaal Franklin,23,DEN,SG,3,0,13,2.8,5.5,.500,2.8,5.5,.500,0.0,0.0,,.750,0.0,0.0,,2.8,2.8,5.5,8.3,0.0,2.8,8.3,11.1,8.3,,frankja01
485,Seth Curry,24,PHO,PG,2,0,8,0.0,13.5,.000,0.0,4.5,.000,0.0,9.0,.000,.000,0.0,0.0,,0.0,9.0,9.0,4.5,0.0,0.0,0.0,9.0,0.0,,curryse01
486,Tyrus Thomas,28,MEM,PF,2,0,7,5.1,5.1,1.000,0.0,0.0,,5.1,5.1,1.000,1.000,10.3,10.3,1.000,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,20.6,,thomaty01
487,David Wear,24,SAC,PF,2,0,7,0.0,10.3,.000,0.0,5.1,.000,0.0,5.1,.000,.000,0.0,0.0,,10.3,0.0,10.3,5.1,0.0,0.0,0.0,5.1,0.0,,wearda01
488,Kalin Lucas,25,MEM,PG,1,0,6,0.0,6.0,.000,0.0,0.0,,0.0,6.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,,lucaska01
489,Sim Bhullar,22,SAC,C,3,0,3,12.0,24.0,.500,0.0,0.0,,12.0,24.0,.500,.500,0.0,0.0,,0.0,12.0,12.0,12.0,0.0,12.0,0.0,0.0,24.0,,bhullsi01
490,Jerrelle Benimon,23,UTA,PF,2,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,12.0,24.0,36.0,0.0,0.0,0.0,12.0,0.0,0.0,,benimje01
491,Eric Moreland,23,SAC,PF,3,0,2,18.0,18.0,1.000,0.0,0.0,,18.0,18.0,1.000,1.000,0.0,0.0,,0.0,18.0,18.0,0.0,0.0,0.0,0.0,18.0,36.0,,moreler01
492,Malcolm Lee,24,PHI,SG,1,0,2,0.0,18.0,.000,0.0,0.0,,0.0,18.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,leema01
