Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
377,Tyler Ennis,20,PHO,PG,8,0,58,5.6,13.0,.429,1.2,3.7,.333,4.3,9.3,.467,.476,1.2,1.2,1.000,0.6,3.7,4.3,8.7,0.0,1.2,5.0,1.9,13.7,,ennisty01
377,Tyler Ennis,20,MIL,PG,25,1,353,4.4,12.5,.350,1.0,3.8,.270,3.4,8.8,.384,.390,0.3,0.5,.600,0.6,2.2,2.9,6.0,1.8,0.3,3.5,3.4,10.1,,ennisty01
378,Erick Green,23,DEN,PG,43,1,410,5.4,14.2,.377,1.2,4.1,.298,4.1,10.1,.409,.420,0.9,1.1,.833,0.6,2.1,2.7,3.4,1.1,0.0,1.2,2.3,12.8,,greener01
379,Joel Anthony,32,DET,C,49,0,406,3.2,5.5,.581,0.0,0.0,,3.2,5.5,.581,.581,1.3,2.0,.682,2.8,5.4,8.2,0.4,1.1,4.3,1.1,4.9,7.7,,anthojo01
380,Troy Daniels,23,3TM,SG,47,0,397,5.5,15.0,.370,3.9,10.7,.364,1.6,4.3,.383,.500,1.0,1.2,.846,0.7,2.3,3.0,2.0,0.5,0.1,1.8,3.6,16.0,,danietr01
380,Troy Daniels,23,HOU,SG,17,0,108,5.0,15.7,.319,4.3,14.3,.302,0.7,1.3,.500,.457,1.0,1.3,.750,0.0,2.0,2.0,1.3,0.0,0.0,1.7,4.7,15.3,,danietr01
380,Troy Daniels,23,MIN,SG,19,0,154,4.4,13.8,.322,3.0,9.1,.333,1.4,4.7,.300,.432,0.5,0.5,1.000,1.4,3.0,4.4,3.0,0.7,0.0,1.9,3.3,12.4,,danietr01
380,Troy Daniels,23,CHO,SG,11,0,135,7.2,15.7,.458,4.5,9.6,.472,2.7,6.1,.435,.602,1.6,1.9,.857,0.5,1.6,2.1,1.3,0.8,0.3,1.9,3.2,20.5,,danietr01
381,Jeff Ayres,27,SAS,PF,51,0,383,5.2,8.9,.579,0.0,0.0,,5.2,8.9,.579,.579,2.5,3.4,.750,3.5,7.5,11.0,1.3,0.8,0.8,2.4,5.6,12.9,,pendeje02
382,Jerome Jordan,28,BRK,C,44,0,383,4.7,8.8,.532,0.0,0.0,,4.7,8.8,.532,.532,3.6,4.1,.864,4.9,5.0,9.9,1.2,0.8,1.4,2.1,5.5,13.0,,jordaje01
383,Johnny O'Bryant,21,MIL,PF,34,15,368,4.3,11.7,.367,0.0,0.0,,4.3,11.7,.367,.367,1.2,2.6,.444,2.5,3.7,6.3,1.7,0.5,0.4,2.4,4.3,9.8,,obryajo01
